GENE_ID,Score
PDCD6IP pseudogene 2,0.13272904100692368
long intergenic non-protein coding RNA 839,0.13097990627438788
interferon regulatory factor 2,0.12776798069554132
CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion,0.1265722869318519
CD200 receptor 1,0.12572977519055434
uncharacterized LOC100287175,0.12552994557327393
sclerostin,0.12547928881878648
endonuclease/exonuclease/phosphatase family domain containing 1,0.12522125764473963
ADP-ribosyltransferase 3,0.12501395480712324
TOLLIP antisense RNA 1 (head to head),0.12484319224504682
nuclear pore complex interacting protein family member B6,0.12381518201855651
long intergenic non-protein coding RNA 1006,0.12347678393856391
uncharacterized LOC105377763,0.12330474961878612
arginine-glutamic acid dipeptide repeats pseudogene 3,0.12316168052498436
uncharacterized LOC100505874,0.12253850747614509
basic helix-loop-helix family member e41,0.12222392193810572
meiotic double-stranded break formation protein 4,0.1221067730787954
nuclear transcription factor Y subunit alpha,0.12136846641561004
aldo-keto reductase family 1 member E2,0.12110106643267021
heat shock protein family A (Hsp70) member 1B,0.12103209058363543
