GENE_ID,Score
ENSG00000064309.16,0.3755316217471446
ENSG00000206538.9,0.34807969727160637
ENSG00000137573.14,0.34645916757665685
ENSG00000169045.18,0.33153548686784706
ENSG00000189403.15,0.33122676599868306
ENSG00000008196.13,0.329252883813803
ENSG00000145147.20,0.3265408572385304
ENSG00000111674.9,0.31797823246251866
ENSG00000160307.10,0.31721542962133503
ENSG00000175928.6,0.3133673827231299
ENSG00000187122.17,0.3120167961076193
ENSG00000069188.17,0.3119111135463836
ENSG00000137267.7,0.30989884093098496
ENSG00000120802.14,0.30931123663166293
ENSG00000174721.10,0.30796795591330095
ENSG00000116133.13,0.3061703566017624
ENSG00000153187.21,0.30566462268055883
ENSG00000167996.16,0.3027128225099851
ENSG00000108953.17,0.30238531087289905
ENSG00000018625.15,0.3021297619412624
